代码,名称,最新价,总市值
833509,同惠电子,33.8,5418332525.0
920819,颖泰生物,4.43,5430294000.0
920002,万达轴承,120.96,5504039009.0
920100,三协电机,79.0,5617634700.0
920060,万源通,37.11,5642377444.0
835174,五新隧装,62.79,5651647403.0
835640,富士达,30.36,5699422080.0
833171,国航远洋,10.59,5881764927.0
833394,民士达,41.12,6013800000.0
836239,长虹能源,36.6,6663915866.0
832149,利尔达,15.86,6687051800.0
430047,诺思兰德,24.58,6741605121.0
430139,华岭股份,25.79,6950595640.0
835368,连城数控,30.3,7113847332.0
835438,戈碧迦,50.4,7289352000.0
832978,开特股份,43.11,7727961885.0
873593,鼎智科技,41.55,7901330488.0
920037,广信科技,86.71,7930748753.0
836077,吉林碳谷,14.72,8650676346.0
839493,并行科技,155.15,9263914186.0
834599,同力股份,20.43,9428955750.0
832522,纳科诺尔,69.78,10938065242.0
920116,星图测控,70.27,11227389250.0
920799,艾融软件,57.59,12081233080.0
920029,开发科技,92.76,12883127231.0
920068,天工股份,19.9,13046440299.0
872808,曙光数创,92.12,18424000092.0
832982,锦波生物,295.98,34057039333.0
835185,贝特瑞,30.8,34722030389.0
