序号,代码,名称,最近上榜日,收盘价,涨跌幅,上榜次数,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜总成交额,买方机构次数,卖方机构次数,机构买入净额,机构买入总额,机构卖出总额,近1个月涨跌幅,近3个月涨跌幅,近6个月涨跌幅,近1年涨跌幅
11,300251,光线传媒,2025-02-17,29.66,-14.5983,11,-901432663.36,24231421279.09,25132853942.45,49364275221.54,6,14,-1191750805.72,511202533.38,1702953339.1,231.76733781,228.4606866,314.82517483,293.38167293
12,002691,冀凯股份,2025-02-24,10.92,-9.9753,10,99378672.6,656752884.16,557374211.56,1214127095.72,2,2,-3058327.3,9484672.0,12542999.3,29.53736655,84.7715736,132.8358209,98.18511797
13,301396,宏景科技,2025-02-24,52.05,-16.0755,10,-268336513.12,1374955779.89,1643292293.01,3018248072.9,20,20,-43181404.24,499929923.04,543111327.28,78.19239986,81.04347826,158.18452381,126.42494035
14,833533,骏创科技,2025-02-24,65.55,0.9704,10,-84208472.97,669310054.74,753518527.71,1422828582.45,0,0,0.0,0.0,0.0,90.0,114.70684573,641.77715946,326.4269151
15,002031,巨轮智能,2025-02-20,9.16,3.0371,10,308074284.69,5364796198.96,5056721914.27,10421518113.23,8,8,-14560835.75,276955107.4,291515943.15,26.51933702,121.25603865,305.30973451,168.62170088
16,603211,晋拓股份,2025-02-19,20.14,4.9505,10,-87649528.18,463411460.16,551060988.34,1014472448.5,0,0,0.0,0.0,0.0,28.69009585,18.19248826,44.26934097,53.94469886
17,605398,新炬网络,2025-02-18,39.56,-7.6348,10,63817441.67,3089554302.49,3025736860.82,6115291163.31,0,1,-26212177.68,0.0,26212177.68,98.69412356,95.06903353,185.63176895,233.74088997
18,002112,三变科技,2025-02-24,18.55,3.1702,8,-212843172.6,1446627698.88,1659470871.48,3106098570.36,17,20,20824191.34,589672961.05,568848769.71,44.80874317,66.51705566,117.97884841,128.65860594
19,603956,威派格,2025-02-24,10.0,-1.5748,8,-201549741.75,655121648.04,856671389.79,1511793037.83,0,0,0.0,0.0,0.0,83.82352941,82.14936248,125.22522523,52.33489753
20,600126,杭钢股份,2025-02-21,12.27,10.0448,8,-41219879.0899999,7683961215.09,7725181094.18,15409142309.27,0,3,-1697632770.58,0.0,1697632770.58,162.74089936,192.84009547,257.72594752,184.59834227
21,603110,东方材料,2025-02-18,23.4,4.8387,8,109723409.64,697468271.46,587744861.82,1285213133.28,0,0,0.0,0.0,0.0,70.30567686,59.18367347,160.86956522,60.05471956
22,000681,视觉中国,2025-02-14,27.52,-9.9771,8,3199072.42000002,4034134185.16,4030935112.74,8065069297.9,8,8,39434030.5,456529744.54,417095714.04,36.23762376,84.08026756,150.62911534,132.64512608
23,600120,浙江东方,2025-02-14,7.82,-10.0115,8,169926988.57,18193181292.94,18023254304.37,36216435597.31,0,0,0.0,0.0,0.0,84.86997636,59.26680244,120.28169014,116.89535367
24,603300,海南华铁,2025-02-24,10.5,5.2104,7,-344476588.83,3526039349.07,3870515937.9,7396555286.97,0,5,-983947591.46,0.0,983947591.46,103.88349515,93.37016575,138.0952381,63.66696849
25,832662,方盛股份,2025-02-24,29.3,-5.5752,7,1981401.11,175646947.39,173665546.28,349312493.67,0,0,0.0,0.0,0.0,42.92682927,9.90247562,248.39476813,135.90582901
26,920002,万达轴承,2025-02-24,130.09,-6.4101,7,-63167439.35,195062148.01,258229587.36,453291735.37,0,0,0.0,0.0,0.0,77.47612551,75.24691369,188.52571261,529.08065209
27,603918,金桥信息,2025-02-21,21.13,-4.9055,7,789697540.95,2419584756.28,1629887215.33,4049471971.61,11,6,896171114.77,1113396813.43,217225698.66,74.33993399,42.48145651,138.21871477,47.33966608
28,002929,润建股份,2025-02-20,62.24,10.0035,7,963252213.28,3246868155.73,2283615942.45,5530484098.18,25,20,564706387.73,1311933696.87,747227309.14,101.42394822,108.23017732,133.19595354,100.42560692
29,002881,美格智能,2025-02-18,54.23,-10.0066,7,-462039318.779999,5928451930.0,6390491248.78,12318943178.78,0,9,-340499856.87,0.0,340499856.87,75.72909916,114.85736926,168.598316,180.3303778
30,002861,瀛通通讯,2025-02-17,14.98,-9.1019,7,-241818922.56,556014442.24,797833364.8,1353847807.04,13,13,-58037502.27,129807674.18,187845176.45,28.25342466,12.80120482,45.57823129,121.67961484
31,600186,莲花控股,2025-02-13,7.17,-10.0376,7,-209772292.32,2452002011.61,2661774303.93,5113776315.54,0,0,0.0,0.0,0.0,59.68819599,50.31446541,119.93865031,77.91563275
32,688620,安凯微,2025-02-11,18.66,-11.1851,7,-363983473.8,623650187.1,987633660.9,1611283848.0,0,2,-87450210.12,0.0,87450210.12,102.82608696,89.82706002,160.25104603,147.04504048
33,600678,四川金顶,2025-02-24,8.91,-5.2128,6,34532546.2,459946579.38,425414033.18,885360612.56,0,0,0.0,0.0,0.0,43.94184168,27.10413695,73.00970874,72.6744186
34,600986,浙文互联,2025-02-24,8.99,-10.01,6,-241603872.69,2042331187.81,2283935060.5,4326266248.31,0,2,-91096072.4,0.0,91096072.4,54.46735395,48.4120033,130.35959799,81.78980324
35,601177,杭齿前进,2025-02-24,17.88,-10.0151,6,290298559.43,4722353955.26,4432055395.83,9154409351.09,0,2,-84954006.0,0.0,84954006.0,98.88765295,110.8490566,155.79399142,121.82445163
36,838924,广脉科技,2025-02-21,43.58,29.9732,6,22592245.61,327313103.6,304720857.99,632033961.59,0,0,0.0,0.0,0.0,185.7704918,117.57363954,446.11528822,499.26735888
37,600410,华胜天成,2025-02-19,10.88,0.9276,6,-68770937.59,1639332623.05,1708103560.64,3347436183.69,0,0,0.0,0.0,0.0,45.45454545,101.48148148,186.31578947,129.53586498
38,002757,南兴股份,2025-02-18,23.01,9.9904,6,389101076.81,1288200722.88,899099646.07,2187300368.95,22,20,40016001.57,488955772.25,448939770.68,51.38157895,39.62378641,107.05459897,104.03406897
39,603636,南威软件,2025-02-17,16.88,-7.6081,6,-54802655.02,836844538.54,891647193.56,1728491732.1,0,0,0.0,0.0,0.0,60.60894386,44.15029889,118.65284974,86.07934327
40,872953,国子软件,2025-02-14,60.34,-3.456,6,-26344618.17,260074334.49,286418952.66,546493287.15,1,4,-38829356.49,1000597.56,39829954.05,113.97163121,35.44332211,406.20805369,349.50812305
41,600355,精伦电子,2025-02-13,4.09,0.2451,6,-51869422.44,192148803.32,244018225.76,436167029.08,0,0,0.0,0.0,0.0,24.69512195,-20.42801556,26.625387,64.91935484
42,002530,金财互联,2025-02-12,13.09,10.0,6,-62272873.01,1310327009.09,1372599882.1,2682926891.19,3,3,-44527118.24,42134397.68,86661515.92,43.68825467,57.71084337,95.6651719,101.38461538
43,870976,视声智能,2025-02-11,29.33,7.7913,6,-15027075.36,139996773.95,155023849.31,295020623.26,0,0,0.0,0.0,0.0,54.36842105,44.15727863,235.27982451,246.58299046
44,002730,电光科技,2025-02-07,22.08,2.9851,6,-111857087.18,740619883.03,852476970.21,1593096853.24,6,6,46329241.91,180830396.31,134501154.4,46.90618762,181.27388535,242.85714286,288.96223017
45,000158,常山北明,2025-02-24,27.47,10.012,5,674832116.76,4298338860.18,3623506743.42,7921845603.6,6,6,-193612775.68,275645948.6,469258724.28,49.29347826,5.69449788,297.5397974,227.02380952
46,600797,浙大网新,2025-02-24,11.67,9.9906,5,-78027856.79,1110042526.98,1188070383.77,2298112910.75,3,1,29351263.8,98410077.72,69058813.92,87.62057878,68.6416185,155.36105033,111.011269
47,605488,福莱新材,2025-02-24,56.25,-10.0,5,107997014.38,9170503764.11,9062506749.73,18233010513.84,4,2,61362698.71,88644286.76,27281588.05,65.44117647,278.95708654,379.15590942,385.53291093
48,603086,先达股份,2025-02-20,5.71,-2.8912,5,62347018.39,304458879.71,242111861.32,546570741.03,3,0,37133461.7,37133461.7,0.0,30.96330275,23.32613391,53.49462366,54.74254743
49,300718,长盛轴承,2025-02-19,98.77,19.9976,5,152158633.200001,61641634149.17,61489475515.97,123131109665.14,9,9,-116247878.44,490516438.92,606764317.36,148.22819804,473.57723577,686.64070053,645.78573247
50,603286,日盈电子,2025-02-19,29.81,10.0,5,152572020.86,679855803.46,527283782.6,1207139586.06,1,0,34356808.0,34356808.0,0.0,61.04808212,61.48429036,86.42901814,126.10485242
51,603716,塞力医疗,2025-02-19,10.72,-3.0741,5,18533150.7,334452474.31,315919323.61,650371797.92,3,0,52153433.0,52153433.0,0.0,53.36194564,26.11764706,52.92439372,76.31578947
52,002398,垒知集团,2025-02-18,6.25,10.0352,5,-56698070.96,415365946.58,472064017.54,887429964.12,5,5,-8430401.34,47901874.07,56332275.41,46.02803738,47.05882353,73.61111111,81.91268739
53,300344,立方数科,2025-02-18,10.75,19.9777,5,167603514.51,749797862.2,582194347.69,1331992209.89,12,12,-59446792.12,258862266.2,318309058.32,36.76844784,82.20338983,221.85628743,257.14285714
54,000785,居然智家,2025-02-17,5.01,-10.0539,5,-359514581.45,1141310655.93,1500825237.38,2642135893.31,6,8,-223098439.53,170212510.67,393310950.2,39.16666667,81.52173913,102.01612903,68.07218531
55,600289,*ST信通,2025-02-17,4.19,5.0125,5,-8026424.37000003,356092767.03,364119191.4,720211958.43,0,0,0.0,0.0,0.0,102.41545894,134.07821229,235.2,246.28099174
56,835305,云创数据,2025-02-14,45.13,29.9827,5,33711627.11,302129143.46,268417516.35,570546659.81,1,1,10706232.8,31999853.83,21293621.03,169.75493126,97.16033202,347.71825397,300.44365572
57,920108,宏海科技,2025-02-13,19.22,-8.2139,5,19102987.54,137250707.55,118147720.01,255398427.56,0,0,0.0,0.0,0.0,245.06283662,245.06283662,245.06283662,245.06283662
58,002036,联创电子,2025-02-12,13.16,-2.6627,5,-161264409.68,1730395747.43,1891660157.11,3622055904.54,6,6,149175150.12,368261190.08,219086039.96,51.26436782,15.74318382,103.71517028,96.12518629
59,300170,汉得信息,2025-02-12,25.22,19.981,5,-187325412.18,3461198583.42,3648523995.6,7109722579.02,12,12,95444405.78,778817078.16,683372672.38,123.18584071,148.71794872,329.5838479,310.03945988
60,002354,天娱数科,2025-02-11,8.16,1.3665,5,21678735.92,1849490994.9,1827812258.98,3677303253.88,5,5,20323814.0,171584866.0,151261052.0,39.96569468,110.30927835,201.10701107,115.30343008
61,839946,华阳变速,2025-02-11,10.26,-8.6376,5,-55523.2299999949,157776217.81,157831741.04,315607958.85,0,0,0.0,0.0,0.0,58.08936826,2.08955224,103.97614314,140.28103044
62,002122,汇洲智能,2025-02-10,4.92,-6.9943,5,29808823.9899999,1320053352.53,1290244528.54,2610297881.07,5,5,25401051.74,185420163.64,160019111.9,31.2,57.1884984,142.36453202,52.79503106
63,000882,华联股份,2025-02-06,2.75,-9.5395,5,-222193708.11,990572164.44,1212765872.55,2203338036.99,4,4,-121488657.85,174583186.4,296071844.25,9.12698413,36.8159204,139.13043478,106.76691729
64,603042,华脉科技,2025-02-06,13.37,-0.816,5,-13715602.71,397633811.86,411349414.57,808983226.43,0,0,0.0,0.0,0.0,9.14285714,5.52486188,48.39067703,42.38551651
65,000967,盈峰环境,2025-02-24,7.08,2.907,4,-407201674.19,669803591.66,1077005265.85,1746808857.51,3,0,93967450.4,93967450.4,0.0,49.36708861,44.19551935,71.84466019,57.4804154
66,002272,川润股份,2025-02-24,11.8,-2.237,4,-196372925.18,604521113.94,800894039.12,1405415153.06,12,12,-106843498.72,218770282.54,325613781.26,43.90243902,-0.25359256,158.20568928,152.96208127
67,002896,中大力德,2025-02-24,87.89,-9.9211,4,-52680360.8500001,1223830907.12,1276511267.97,2500342175.09,7,8,-33394436.11,409815652.97,443210089.08,78.34821429,180.26147959,264.68879668,187.14091108
68,301585,蓝宇股份,2025-02-24,54.2,8.0112,4,-10379563.62,236459181.94,246838745.56,483297927.5,17,14,-9347311.38,184795123.44,194142434.82,31.39393939,126.30480167,126.30480167,126.30480167
69,600590,泰豪科技,2025-02-24,9.2,10.0478,4,245262667.22,488453378.62,243190711.4,731644090.02,2,0,79785170.02,79785170.02,0.0,90.87136929,77.60617761,178.78787879,79.6875
70,600633,浙数文化,2025-02-24,17.26,-10.0104,4,-278461456.43,933052178.55,1211513634.98,2144565813.53,1,7,-438344575.82,43907180.12,482251755.94,78.4901758,61.15779645,112.34679111,61.83749036
71,002065,东华软件,2025-02-21,13.95,1.6764,4,970424026.27,3886069296.24,2915645269.97,6801714566.21,0,1,-130767653.43,0.0,130767653.43,98.71794872,73.72353674,214.18918919,160.3589971
72,300276,三丰智能,2025-02-21,16.27,11.5147,4,732727782.51,2673645240.11,1940917457.6,4614562697.71,7,7,339677010.97,757193457.41,417516446.44,50.92764378,160.32,357.02247191,329.28759894
73,831175,派诺科技,2025-02-21,25.5,7.6858,4,-118858895.9,186894499.63,305753395.53,492647895.16,0,0,0.0,0.0,0.0,51.96662694,19.94355597,149.26686217,73.21073601
74,600193,创兴资源,2025-02-20,4.06,10.0271,4,24674634.0,96198487.0,71523853.0,167722340.0,0,0,0.0,0.0,0.0,30.96774194,18.71345029,21.55688623,33.1147541
75,600421,华嵘控股,2025-02-20,7.77,-9.1228,4,-10515636.52,63372559.0,73888195.52,137260754.52,0,0,0.0,0.0,0.0,22.36220472,-40.0925212,16.66666667,37.03703704
76,603789,星光农机,2025-02-20,7.66,-7.8219,4,-34550702.97,56299175.33,90849878.3,147149053.63,0,0,0.0,0.0,0.0,0.3931848,-9.7762073,12.97935103,29.83050847
77,000710,贝瑞基因,2025-02-19,12.67,9.9826,4,12438323.02,373195711.45,360757388.43,733953099.88,10,10,42000268.4,148064480.47,106064212.07,49.58677686,38.6214442,61.40127389,100.47468354
78,301459,丰茂股份,2025-02-19,70.66,14.0045,4,23637666.24,308947568.33,285309902.09,594257470.42,18,12,39541022.02,214546997.67,175005975.65,61.69336384,76.65,102.2323984,118.25766052
79,688393,安必平,2025-02-19,38.24,11.1951,4,-145468845.35,1701690705.28,1847159550.63,3548850255.91,0,0,0.0,0.0,0.0,118.26484018,100.84033613,150.42567125,149.26060856
80,002016,世荣兆业,2025-02-18,6.25,-6.994,4,-83512380.0,293833063.65,377345443.65,671178507.3,0,0,0.0,0.0,0.0,11.40819964,-27.82909931,0.80645161,43.31765888
81,002717,岭南股份,2025-02-18,4.35,2.5943,4,-35377738.91,1056718181.55,1092095920.46,2148814102.01,11,11,-32795619.55,592844801.35,625640420.9,26.45348837,36.36363636,367.74193548,116.41791045
82,600892,大晟文化,2025-02-18,3.91,10.1408,4,59217287.47,122433866.0,63216578.53,185650444.53,1,2,-9664659.0,715136.0,10379795.0,8.91364903,-16.27408994,-2.73631841,5.39083558
83,603881,数据港,2025-02-18,33.76,-9.9973,4,251678013.65,1938854117.76,1687176104.11,3626030221.87,1,5,-341813720.87,52024956.23,393838677.1,79.67003725,100.71343639,173.26535349,167.14665094
84,603803,瑞斯康达,2025-02-17,13.22,-10.0068,4,-91801779.79,575861668.0,667663447.79,1243525115.79,0,0,0.0,0.0,0.0,37.70833333,76.26666667,125.59726962,183.08351178
85,873167,新赣江,2025-02-17,36.5,29.9858,4,5981240.85,125203617.88,119222377.03,244425994.91,0,1,-5048457.18,0.0,5048457.18,90.00520562,124.28269501,214.37916224,222.77726245
86,000034,神州数码,2025-02-14,52.94,9.9938,4,817311936.2,2129637500.97,1312325564.77,3441963065.74,5,8,-34801894.96,318017372.52,352819267.48,72.44299674,39.60970464,136.9740376,116.47011936
87,300249,依米康,2025-02-14,18.75,3.022,4,146512995.37,807895887.63,661382892.26,1469278779.89,11,11,80767758.57,477674458.24,396906699.67,41.18975904,95.51616267,199.52076677,272.02380952
88,688244,永信至诚,2025-02-14,56.95,17.2293,4,103000810.57,2327170004.13,2224169193.56,4551339197.69,0,1,-25102310.52,0.0,25102310.52,135.13625103,77.58029311,144.84092863,137.44645221
89,002364,中恒电气,2025-02-13,17.51,9.9874,4,240157725.0,1089709716.44,849551991.44,1939261707.88,12,12,-8532690.26999998,439126528.49,447659218.76,24.71509972,136.62162162,191.34775374,272.87466656
90,301596,瑞迪智驱,2025-02-11,153.68,-3.352,4,97899064.11,576797554.0,478898489.89,1055696043.89,6,3,62840935.0,104158186.0,41317251.0,52.29412348,31.91416309,116.17667745,492.90123457
91,300790,宇瞳光学,2025-02-10,31.09,7.5406,4,-210812427.95,750488220.98,961300648.93,1711788869.91,1,4,-110716757.47,44153055.0,154869812.47,56.38832998,78.16618911,142.890625,216.89058735
92,301299,卓创资讯,2025-02-06,87.01,1.8256,4,-119177870.02,339992914.85,459170784.87,799163699.72,8,8,42548929.28,112792750.28,70243821.0,41.91813395,56.39647136,117.02109889,179.40003098
93,300840,酷特智能,2025-02-05,26.1,-8.2601,4,-103248174.66,718990307.34,822238482.0,1541228789.34,12,12,-5050426.66,466391864.34,471442291.0,43.88092613,128.94736842,203.48837209,70.67173843
94,603729,龙韵股份,2025-02-05,16.35,-6.6248,4,-2064406.3,184068984.0,186133390.3,370202374.3,1,2,-10046889.0,6950160.0,16997049.0,18.39246923,5.28010303,28.33594976,-22.0686368
95,000032,深桑达A,2025-02-24,31.32,10.0105,3,467224396.56,1970231679.32,1503007282.76,3473238962.08,3,2,142603696.35,247462085.4,104858389.05,92.73846154,65.88983051,152.37711523,67.09272636
96,002779,中坚科技,2025-02-24,133.25,-9.9966,3,134550590.26,631149223.48,496598633.22,1127747856.7,15,12,128047028.78,428831108.98,300784080.2,44.19435126,126.7699115,305.26155718,319.44030227
97,301157,华塑科技,2025-02-24,63.87,4.8596,3,-38554302.31,119108478.49,157662780.8,276771259.29,8,9,-43441046.21,49714724.15,93155770.36,22.59117083,62.51908397,110.44481054,101.75030185
98,301202,朗威股份,2025-02-24,58.1,18.5231,3,130204092.55,348528688.58,218324596.03,566853284.61,12,9,123425379.41,269752387.44,146327008.03,50.20682523,70.4312115,141.81961882,134.22938436
99,600589,大位科技,2025-02-24,5.24,10.084,3,-208154984.16,270578052.84,478733037.0,749311089.84,0,0,0.0,0.0,0.0,49.28774929,18.5520362,120.16806723,51.44508671
100,603004,鼎龙科技,2025-02-24,24.0,-2.3993,3,59815389.05,303290116.96,243474727.91,546764844.87,2,1,16026372.0,35432772.0,19406400.0,12.20196353,-21.05263158,56.8627451,11.43894756
101,900901,云赛B股,2025-02-24,0.881,9.9875,3,1658606.67,4822845.12,3164238.45,7987083.57,0,0,0.0,0.0,0.0,40.2866242,35.33026114,87.44680851,57.36697896
102,000096,广聚能源,2025-02-21,15.23,-6.3921,3,-152524859.65,241603467.75,394128327.4,635731795.15,2,4,-28110581.36,20551109.64,48661691.0,28.74049028,17.24403387,61.33474576,52.48083527
103,300738,奥飞数据,2025-02-21,23.9,19.9799,3,59192824.9500001,1561981873.39,1502789048.44,3064770921.83,4,4,174108031.97,412311456.37,238203424.4,83.84615385,83.00153139,164.67331118,179.75414555
104,603315,福鞍股份,2025-02-21,13.74,-7.35,3,4263943.31999999,219985261.0,215721317.68,435706578.68,0,0,0.0,0.0,0.0,24.68239564,31.73537872,51.82320442,52.78859398
105,605255,天普股份,2025-02-21,17.23,-6.5618,3,-22672073.49,81560530.56,104232604.05,185793134.61,0,0,0.0,0.0,0.0,29.8417483,29.96647673,37.52148009,51.84301608
106,871478,巨能股份,2025-02-21,36.66,5.2239,3,3371586.05,81924237.01,78552650.96,160476887.97,0,0,0.0,0.0,0.0,20.27559055,36.48548027,186.40625,112.3986095
107,002213,大为股份,2025-02-20,19.19,4.2935,3,-5579803.83999997,535967126.56,541546930.4,1077514056.96,6,6,53664937.0,233812175.0,180147238.0,37.46418338,64.43873179,109.49781659,122.62180974
108,601921,浙版传媒,2025-02-20,9.65,10.0342,3,-61572268.64,140907416.36,202479685.0,343387101.36,0,2,-63294390.0,0.0,63294390.0,30.75880759,22.30671736,10.91954023,32.79107509
109,603082,北自科技,2025-02-20,43.98,-2.0053,3,-34152126.05,208105618.49,242257744.54,450363363.03,1,0,7154132.0,7154132.0,0.0,17.34258271,29.35294118,47.33668342,47.06708318
110,603270,金帝股份,2025-02-20,25.27,2.7236,3,-50157280.97,194606840.48,244764121.45,439370961.93,1,0,7973889.0,7973889.0,0.0,20.79349904,36.05762299,44.22478278,22.32313473
111,002520,日发精机,2025-02-19,8.16,5.4264,3,88328766.51,612192134.25,523863367.74,1136055501.99,9,9,18382531.8,332893277.66,314510745.86,35.32338308,69.64656965,119.35483871,109.23076923
112,603388,ST元成,2025-02-19,3.41,4.9231,3,184755.6,42283517.4,42098761.8,84382279.2,0,0,0.0,0.0,0.0,26.76579926,26.76579926,83.33333333,-22.5
113,900945,海控B股,2025-02-19,0.277,9.9206,3,153127.29,625388.71,472261.42,1097650.13,0,0,0.0,0.0,0.0,-15.29051988,-5.46075085,60.11560694,52.1978022
114,002052,*ST同洲,2025-02-18,5.35,1.9048,3,-2022321.96,76500382.98,78522704.94,155023087.92,3,3,-982956.859999999,15959326.98,16942283.84,-16.40625,40.41994751,259.06040268,207.47126437
115,300478,杭州高新,2025-02-18,16.2,4.3142,3,21913998.6,232425711.76,210511713.16,442937424.92,3,3,18745336.5,30778669.0,12033332.5,84.51025057,52.83018868,121.91780822,103.51758794
116,603039,泛微网络,2025-02-18,71.91,-10.0,3,-21299352.8,350342706.24,371642059.04,721984765.28,4,3,2742721.68000001,85814913.0,83072191.32,53.0651341,24.28275147,160.17768708,102.22313429
117,603990,麦迪科技,2025-02-18,14.58,-10.0,3,33713211.88,254790574.46,221077362.58,475867937.04,0,0,0.0,0.0,0.0,23.24598478,44.35643564,97.02702703,62.90502793
118,300078,思创医惠,2025-02-17,5.27,15.0655,3,-98877094.77,454448621.94,553325716.71,1007774338.65,6,6,87566648.95,229079150.78,141512501.83,82.98611111,48.8700565,84.26573427,147.41784038
119,430300,辰光医疗,2025-02-17,19.0,13.7725,3,-3437079.71000001,83421981.52,86859061.23,170281042.75,0,0,0.0,0.0,0.0,51.51515152,47.28682171,161.70798898,80.78020932
120,600696,岩石股份,2025-02-17,11.86,4.2179,3,-9442026.64,43472421.35,52914447.99,96386869.34,0,0,0.0,0.0,0.0,4.49339207,-22.12738017,28.63340564,7.1364047
121,600843,上工申贝,2025-02-17,15.8,2.3316,3,52059297.87,623053897.94,570994600.07,1194048498.01,0,0,0.0,0.0,0.0,29.61443806,26.70408982,88.54415274,301.86032966
122,300287,飞利信,2025-02-14,7.19,20.0334,3,192268554.78,716488074.19,524219519.41,1240707593.6,1,1,-11880594.0,1797932.0,13678526.0,82.95165394,26.14035088,197.10743802,170.30075188
123,430556,雅达股份,2025-02-13,14.4,23.8177,3,-109401605.64,109172905.54,218574511.18,327747416.72,0,0,0.0,0.0,0.0,98.62068966,62.71186441,230.27522936,225.16463436
124,600811,东方集团,2025-02-13,2.37,10.2326,3,95999677.76,270674054.3,174674376.54,445348430.84,0,0,0.0,0.0,0.0,15.6097561,-29.8816568,70.50359712,47.20496894
125,603893,瑞芯微,2025-02-13,169.96,-8.1397,3,510349766.65,1934465207.4,1424115440.75,3358580648.15,5,6,-408514503.01,338414860.9,746929363.91,34.05951437,84.25928923,205.44596923,228.55798887
126,300220,金运激光,2025-02-12,21.0,20.0,3,-2571217.50000001,168402121.87,170973339.37,339375461.24,9,9,3829476.74,87438566.36,83609089.62,60.18306636,55.55555556,202.59365994,277.69784173
127,688229,博睿数据,2025-02-12,61.17,15.6333,3,71806718.01,140249235.57,68442517.56,208691753.13,2,0,39064735.09,39064735.09,0.0,66.76663032,26.80348259,132.49714937,146.15694165
128,002131,利欧股份,2025-02-11,4.71,3.7445,3,186791638.58,1964680521.87,1777888883.29,3742569405.16,3,3,-30933178.72,129949020.09,160882198.81,29.75206612,125.35885167,224.82758621,119.00273394
129,600255,鑫科材料,2025-02-11,4.22,5.7644,3,48917988.24,777933650.98,729015662.74,1506949313.72,0,0,0.0,0.0,0.0,22.31884058,70.85020243,135.75418994,167.08860759
130,600666,奥瑞德,2025-02-11,3.04,10.1449,3,9704597.00999999,165138764.59,155434167.58,320572932.17,0,0,0.0,0.0,0.0,38.81278539,8.18505338,120.28985507,93.63057325
131,688078,龙软科技,2025-02-11,41.74,20.0115,3,794849.129999999,74985028.46,74190179.33,149175207.79,0,0,0.0,0.0,0.0,76.19248628,37.39302172,102.62135922,75.1295361
132,002718,友邦吊顶,2025-02-10,14.58,-7.9545,3,-64837983.38,76453878.13,141291861.51,217745739.64,4,4,-24226352.6,1300512.0,25526864.6,17.39130435,14.62264151,46.82779456,51.7404525
133,601929,吉视传媒,2025-02-10,2.16,10.2041,3,74131416.76,212356990.76,138225574.0,350582564.76,0,0,0.0,0.0,0.0,22.03389831,5.88235294,94.59459459,43.04635762
134,003005,竞业达,2025-02-07,40.56,10.0081,3,23470419.78,237573714.4,214103294.62,451677009.02,8,9,7898434.64,90855426.0,82956991.36,56.84454756,47.00978615,66.98229724,119.71830986
135,000573,粤宏远A,2025-02-06,4.4,-8.7137,3,-134977133.19,271569177.42,406546310.61,678115488.03,7,7,-14933256.26,110116648.74,125049905.0,28.27988338,52.24913495,103.7037037,77.68916239
136,301512,智信精密,2025-02-06,50.95,-5.6481,3,-1921920.0,144133361.0,146055281.0,290188642.0,2,3,-11313015.0,12026113.0,23339128.0,42.08031233,18.81996269,27.31134433,45.31761679
137,603928,兴业股份,2025-02-06,11.09,-5.6973,3,-38983007.7,128165298.1,167148305.8,295313603.9,0,0,0.0,0.0,0.0,41.63473819,31.24260355,51.74409381,80.67206449
