时间,代码,名称,板块,相关信息
13:47:05,603194,中力股份,大笔买入,"388937,38.46000,0.099800"
13:47:03,002576,通达动力,大笔买入,"196400,16.03000,0.012626"
13:47:02,600839,四川长虹,大笔买入,"14902629,10.51000,0.099372"
13:46:58,600186,莲花控股,大笔买入,"2595900,6.51000,0.099662"
13:46:51,000816,智慧农业,大笔买入,"2972300,2.96000,0.038596"
13:46:39,002196,方正电机,大笔买入,"514200,6.42000,0.052632"
13:46:09,001229,魅视科技,大笔买入,"88800,37.63000,0.024330"
13:45:58,301211,亨迪药业,大笔买入,"78700,18.97000,0.050304"
13:45:57,002741,光华科技,大笔买入,"369800,16.63000,0.009091"
13:45:55,300817,双飞集团,大笔买入,"199450,16.61000,0.055944"
13:45:39,002553,南方精工,大笔买入,"722500,15.25000,0.003289"
13:45:21,603383,顶点软件,大笔买入,"588940,41.36000,0.097082"
13:45:07,301211,亨迪药业,大笔买入,"73600,18.86000,0.041459"
13:45:07,300472,新元科技,大笔买入,"411400,8.20000,0.016149"
13:45:03,839946,华阳变速,大笔买入,"1212251,10.66000,0.299635"
13:44:49,301277,新天地,大笔买入,"108800,14.61000,0.006897"
13:44:49,301211,亨迪药业,大笔买入,"93740,18.74000,0.034273"
13:44:46,301277,新天地,大笔买入,"89140,14.60000,0.004138"
13:44:22,300472,新元科技,大笔买入,"265400,8.10000,0.007453"
13:44:08,600789,鲁抗医药,大笔买入,"1263100,9.96000,0.051742"
13:44:02,600789,鲁抗医药,大笔买入,"1393100,9.96000,0.051742"
13:43:54,870204,沪江材料,大笔买入,"60100,19.29000,0.074610"
13:43:48,002337,赛象科技,大笔买入,"839021,5.44000,0.032258"
13:43:47,600789,鲁抗医药,大笔买入,"972300,9.91000,0.046463"
13:42:09,002953,日丰股份,大笔买入,"529750,11.07000,0.038534"
13:42:06,603194,中力股份,大笔买入,"51800,36.89000,0.054904"
13:41:46,600203,福日电子,大笔买入,"5528800,9.93000,0.098451"
13:41:41,600789,鲁抗医药,大笔买入,"1358500,9.82000,0.036959"
13:41:21,002728,特一药业,大笔买入,"448796,8.36000,0.015834"
13:41:13,300434,金石亚药,大笔买入,"381600,8.79000,0.024504"
13:41:06,002196,方正电机,大笔买入,"752700,6.25000,0.027961"
13:41:06,603194,中力股份,大笔买入,"55200,36.57000,0.045754"
13:40:55,300995,奇德新材,大笔买入,"91800,17.47000,0.025279"
13:40:54,001266,宏英智能,大笔买入,"231920,26.45000,0.097216"
13:40:32,600789,鲁抗医药,大笔买入,"1026500,9.58000,0.011616"
13:40:30,002196,方正电机,大笔买入,"1536380,6.20000,0.014803"
13:39:31,300338,*ST开元,大笔买入,"492500,4.00000,0.130312"
13:39:25,300651,金陵体育,大笔买入,"81700,14.32000,0.090840"
13:39:24,002137,实益达,大笔买入,"907400,9.25000,0.081871"
13:39:22,301313,凡拓数创,大笔买入,"69300,26.58000,0.023901"
13:39:19,301313,凡拓数创,大笔买入,"116500,26.56000,0.022359"
13:39:04,301626,苏州天脉,大笔买入,"27800,102.30000,0.009188"
13:39:03,002137,实益达,大笔买入,"522100,9.22000,0.077193"
13:38:51,002137,实益达,大笔买入,"398000,9.18000,0.072515"
13:38:36,920108,宏海科技,大笔买入,"50731,21.00000,0.089212"
13:38:30,002137,实益达,大笔买入,"433600,9.10000,0.064327"
13:38:21,002757,南兴股份,大笔买入,"524500,19.02000,0.096009"
13:38:10,300840,酷特智能,大笔买入,"239300,26.91000,0.036251"
13:38:01,300786,国林科技,大笔买入,"214400,14.24000,0.022989"
13:37:31,300823,建科智能,大笔买入,"111600,14.00000,0.016655"
13:37:10,300809,华辰装备,大笔买入,"87320,34.56000,-0.010034"
13:37:06,002757,南兴股份,大笔买入,"667200,18.80000,0.098901"
13:37:00,002443,金洲管道,大笔买入,"523000,6.17000,0.049236"
13:36:38,603138,海量数据,大笔买入,"1403800,16.61000,0.089895"
13:36:36,002398,垒知集团,大笔买入,"646900,5.50000,0.068226"
13:36:35,688667,菱电电控,大笔买入,"100000,44.21000,0.012134"
13:36:33,002398,垒知集团,大笔买入,"703700,5.48000,0.062378"
13:36:30,002137,实益达,大笔买入,"849400,8.93000,0.043275"
13:36:27,002398,垒知集团,大笔买入,"1054000,5.44000,0.050682"
13:36:24,002398,垒知集团,大笔买入,"1406500,5.39000,0.042885"
13:36:11,600397,安源煤业,大笔买入,"5185700,4.64000,0.094340"
13:36:09,002137,实益达,大笔买入,"790200,8.89000,0.039766"
13:35:48,002757,南兴股份,大笔买入,"1046700,19.02000,0.100058"
13:35:24,002137,实益达,大笔买入,"490200,8.80000,0.029240"
13:35:14,600128,苏豪弘业,大笔买入,"712500,9.49000,0.006363"
13:34:58,300654,世纪天鸿,大笔买入,"350600,12.95000,0.016496"
13:34:36,002879,长缆科技,大笔买入,"189400,15.66000,0.026178"
13:34:36,002398,垒知集团,大笔买入,"1556000,5.30000,0.031189"
13:34:12,002757,南兴股份,大笔买入,"287900,18.34000,0.053788"
13:34:09,002757,南兴股份,大笔买入,"309800,18.22000,0.051475"
13:33:46,300836,佰奥智能,大笔买入,"66800,48.29000,0.031844"
13:33:30,000812,陕西金叶,大笔买入,"1304201,4.86000,0.025424"
13:33:16,300235,方直科技,大笔买入,"206450,12.44000,0.091964"
13:33:10,300235,方直科技,大笔买入,"342100,12.13000,0.071429"
13:33:07,300235,方直科技,大笔买入,"229200,12.00000,0.064286"
13:33:06,000852,石化机械,大笔买入,"1060600,6.42000,0.009404"
13:33:01,301217,铜冠铜箔,大笔买入,"382400,11.15000,0.032377"
13:33:01,301178,天亿马,大笔买入,"54000,30.62000,0.056995"
13:32:55,600186,莲花控股,大笔买入,"12361568,6.51000,0.099662"
13:32:51,002137,实益达,大笔买入,"775600,8.70000,0.019883"
13:32:36,002777,久远银海,大笔买入,"1414200,19.90000,0.098840"
13:32:31,301178,天亿马,大笔买入,"43700,30.41000,0.050432"
13:32:21,002862,实丰文化,大笔买入,"127700,35.40000,-0.031216"
13:32:19,920108,宏海科技,大笔买入,"52623,20.66000,0.068465"
