序号,代码,名称,最近上榜日,收盘价,涨跌幅,上榜次数,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜总成交额,买方机构次数,卖方机构次数,机构买入净额,机构买入总额,机构卖出总额,近1个月涨跌幅,近3个月涨跌幅,近6个月涨跌幅,近1年涨跌幅
166,002765,蓝黛科技,2025-02-26,13.86,2.439,2,99148995.86,855376428.7,756227432.84,1611603861.54,10,9,30298433.6,625360409.9,595061976.3,36.68639053,62.96752631,200.29576508,196.46220212
167,200056,皇庭B,2025-02-26,1.24,9.7345,2,-320682.22,951082.05,1271764.27,2222846.32,0,0,0.0,0.0,0.0,6.89655172,5.08474576,39.3258427,24.0
168,300083,创世纪,2025-02-26,9.52,20.0504,2,382410353.41,1130650726.16,748240372.75,1878891098.91,6,6,-68439828.28,258568096.08,327007924.36,47.59689922,32.22222222,61.62988115,95.4825462
169,300403,汉宇集团,2025-02-26,21.02,17.1031,2,185462593.18,856193855.47,670731262.29,1526925117.76,5,5,-31470067.57,446345004.35,477815071.92,54.44526084,123.14225053,248.32008712,204.79543464
170,301181,标榜股份,2025-02-26,27.3,1.2987,2,-18338977.68,64258901.72,82597879.4,146856781.12,2,2,-307014.880000001,9494626.12,9801641.0,27.57009346,19.31818182,44.51193908,34.09190637
171,430418,苏轴股份,2025-02-26,47.9,22.3499,2,19022496.01,202307694.08,183285198.07,385592892.15,4,5,-8990178.93,42122970.75,51113149.68,83.10397554,58.13799934,253.50553506,214.36391047
172,603109,神驰机电,2025-02-26,24.68,9.9822,2,-93035197.14,177532939.78,270568136.92,448101076.7,2,0,33467686.8,33467686.8,0.0,38.57383492,63.01188904,108.44594595,56.82702649
173,603278,大业股份,2025-02-26,12.71,9.9481,2,50733728.82,288860563.88,238126835.06,526987398.94,0,3,-75389357.16,0.0,75389357.16,35.64567769,79.26657264,153.69261477,35.56927685
174,603316,诚邦股份,2025-02-26,6.49,10.0,2,23335243.0,33924824.0,10589581.0,44514405.0,0,0,0.0,0.0,0.0,44.54342984,21.76360225,87.57225434,45.1901566
175,605100,华丰股份,2025-02-26,20.93,9.9842,2,39302752.49,147591121.19,108288368.7,255879489.89,0,0,0.0,0.0,0.0,53.89705882,21.75683537,108.13265451,70.21733246
176,000880,潍柴重机,2025-02-25,31.69,9.9965,2,16295919.78,589571298.87,573275379.09,1162846677.96,11,12,-34761653.26,389497150.46,424258803.72,45.70114943,168.02671707,261.43921755,296.18297247
177,300383,光环新网,2025-02-25,22.95,4.8903,2,370537932.44,2352597731.53,1982059799.09,4334657530.62,6,5,-24817966.74,861391377.92,886209344.66,48.44760673,107.88043478,191.24365482,153.25152426
